,name,sku,price
147,"Porsche 356A/B/C & 912, Engine Case Gasket Set, REINZ OEM quality",616-101-901-01,69.99
148,"Porsche 356A/B/C Engine Gasket Set; Reinz,'50-'65",616-100-184-03,54.99
149,"Porsche Accelerator Bell Crank Bushing, 356, 911,912,914",914-423-211-00,2.99
150,"Porsche Clutch Flywheel Gland Nut, All 356 & 912",616-102-025-01,52.99
151,"Porsche Engine Compartment Seal, Front & Rear,356A, 356B, 356C",369-06-139,33.15
152,"Porsche Engine Crankcase O-Ring BLUE LATEST VERSION, 356, 911, 912, 914",999-701-006-40,0.79
153,"Porsche Engine Intake Valve Guide 1st O/S; .556"" OD, New, 356A, 356B, 356C, 912",616-104-321-02,9.99
154,"Porsche Engine Oil Line, Braided Steel, 356A, 356B, 356C, 912",539-078-26,29.99
155,"Porsche Engine Oil Line, Inlet to Oil Filter, Steel Braided, 356A, 356B, 356C, 912",616-078-18,38.99
156,"Porsche Engine Oil Pump Drive Gear W/Out Tachometer Drive, 356B, 356C, 912",616-107-017-00,379.99
157,"Porsche Engine Oil Pump Lock Plate or Tab Washer, 356, 911, 914",999-039-001-00,4.75
158,"Porsche Engine Oil Strainer Gasket Set, 356A, 356B, 356C, 912",539-01-152-98,7.99
159,"Porsche Engine Piston Pin Bushing Split,Glyco, 356, 911, 912, 914",911-103-132-00,0.00
160,"Porsche Engine Piston Pin Bushing, Solid,Bronze, 356, 911, 912, 914",911-103-132-00-HD,13.99
161,"Porsche Engine Piston Ring Set, 356A, 356B, 356C",616-103-907-02,0.00
162,"Porsche Engine Piston Set, Mahle, 356A, 356B, 356C, 912",504-01-90,839.00
163,"Porsche Engine Valve Guide Standard, .554"" OD, New,",616-104-322-60,9.99
164,"Porsche Engine Valve Spring, New, All 356's & 912",616-105-432-03,14.99
165,"Porsche Engine Valve Stem Oil Seal, 356A, 356B, 356C, 912",616-105-491-02,4.99
166,"Porsche Generator End Bearing, 356A, 356B, 356C, 911",928-102-111-02,11.99
167,"Porsche Manual Shift Transmission Shaft Seal, 356A, 356B, 356C, 911, 912, 914",900-112-001-50,2.99
168,"Porsche Manual Transmission Synchro Ring, 356A, 356B, 356C",716-302-301-06,159.99
169,"Porsche Oil Cooler, Aluminum, 356 & 912",616-107-041-01,599.99
