,title,price,sku,product_link
159,48MM SUPER SPORT EL SS143 EXHAUST SYSTEMS SPLIT BUS // USE EL-HEADER-13mm,"$1,142.11",155-206-05048,https://thevdubfactory.com/collections/all/products/48mm-super-sport-el-ss143-exhaust-systems-split-bus-use-el-header-13mm-1
160,4PC DOOR PANEL 58-64 W/POCKET,$96.95,00-4852-0,https://thevdubfactory.com/collections/all/products/4pc-dr-pnl-58-64-w-pocket
161,5 LUG SMOOTHIE HUBCAP,$16.10,10-1061-0,https://thevdubfactory.com/collections/all/products/5-lug-smoothie-hubcap
162,"5 Panel Rear View Mirror, Plastic Body",$19.04,00-4580-0,https://thevdubfactory.com/collections/all/products/interior-mirror
163,"5 PC. WHEEL STUD KIT,12MM",$5.95,00-9483-0,https://thevdubfactory.com/collections/all/products/5-pc-wheel-stud-kit-12mm
164,"5 PC. WHEEL STUD KIT,14MM",$8.67,00-9496-0,https://thevdubfactory.com/collections/all/products/5-pc-wheel-stud-kit-14mm
165,"5 POINT BELT W/""V"" HARNESS,BLACK",$176.33,00-3970-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-v-harness-black
166,"5 POINT BELT W/""V"" HARNESS,BLUE",$173.39,00-3968-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-v-harness-blue
167,"5 POINT BELT W/""V"" HARNESS,GREY",$173.39,00-3971-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-v-harness-grey
168,"5 POINT BELT W/""V"" HARNESS,RED",$173.39,00-3969-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-v-harness-red
169,"5 POINT BELT W/""Y"" HARNESS,BLACK",$173.39,00-3966-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-y-harness-black
170,"5 POINT BELT W/""Y"" HARNESS,BLUE",$173.39,00-3964-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-y-harness-blue
171,"5 POINT BELT W/""Y"" HARNESS,GREY",$173.39,00-3967-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-y-harness-grey
172,"5 POINT BELT W/""Y"" HARNESS,RED",$173.39,00-3965-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-y-harness-red
173,"5 POINT BELT W/TWIN HARNESS,BLACK",$173.39,00-3974-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-twin-harness-blck
174,"5 POINT BELT W/TWIN HARNESS,BLUE",$176.33,00-3972-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-twin-harness-blue
175,"5 POINT BELT W/TWIN HARNESS,GREY",$176.33,00-3975-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-twin-harness-grey
176,"5 POINT BELT W/TWIN HARNESS,RED",$173.39,00-3973-0,https://thevdubfactory.com/collections/all/products/5pt-belt-w-twin-harness-red
177,"5 Rib Wheel, All Chrome, 5.5"" Wide, Fits 5 on 205mm VW",$245.42,00-9751-0,https://thevdubfactory.com/collections/all/products/5-rib-chrome-whl-5-5-5x205
178,"5 Rib Wheel, Grey, 5.5"" Wide, Fits 5 on 205mm VW",$145.46,00-9750-0,https://thevdubfactory.com/collections/all/products/5-rib-wheel-5-5-5x205
179,"5"" CHROME OFFROAD LIGHT, EA.",$21.98,00-9309-0,https://thevdubfactory.com/collections/all/products/5-chrome-offroad-light-ea
